2025-03-28T18:02:56.606254 - 🌐 Server starting on ws://192.168.4.246:19131
2025-03-28T18:06:00.948101 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.073700 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.079992 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.232888 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.306235 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.350915 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.513949 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.693625 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.868306 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:01.898491 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.016452 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.044902 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.180841 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.227267 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.322174 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.398320 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.523926 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.618361 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.774799 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:02.837373 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.058220 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.067599 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.160805 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.235917 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.438424 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.445677 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.563390 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.626070 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.719931 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.878718 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:03.970919 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.034384 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.127241 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.157180 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.351852 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.479095 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.524598 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.724401 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.827215 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.901433 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:04.994660 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.057760 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.134006 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.207058 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.331489 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.401318 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.464261 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
2025-03-28T18:06:05.646778 - [✅] Events saved to: /home/juedwards/Documents/minecraft_wsserver/server/data/events_2025-03-28T18-02-56.json
